Goa,Gujarat,Maharashtra,DNH,Rajasthan
12.6,319.3,438.7,18.8,202.2
12.2,317.1,435.7,18.6,211.4
11.4,299.5,422.9,18.2,212.7
11.0,284.7,395.1,18.6,232.7
11.8,278.2,395.6,18.7,246.5
11.8,277.2,400.3,18.7,253.5
11.8,267.2,377.8,18.5,253.0
11.9,282.3,383.5,18.4,247.4
11.8,287.7,390.7,18.4,243.3
11.8,280.1,382.4,18.2,237.1
10.3,323.8,487.6,18.6,198.2
8.8,253.8,430.1,12.5,173.4
10.1,286.4,465.5,14.1,170.6
10.4,323.3,482.4,17.9,193.0
10.3,331.2,482.7,18.6,206.4
9.9,333.1,476.3,18.6,209.3
9.6,321.0,466.7,18.4,205.8
11.6,331.7,392.3,18.2,218.1
11.6,340.4,402.8,18.6,225.8
11.6,344.5,403.7,18.7,239.7
11.6,354.4,403.8,18.7,242.6
11.6,362.9,407.6,18.6,249.6
11.6,364.6,415.0,18.6,252.4
11.6,346.8,404.8,18.4,247.6
12.0,378.0,497.4,18.7,197.5
13.7,379.7,499.9,18.9,211.3
13.7,379.9,500.8,19.0,215.1
11.8,386.5,502.7,19.0,215.6
11.8,389.4,501.4,18.8,210.6
11.8,383.1,489.9,18.7,216.6
11.8,369.0,468.4,18.3,213.0
12.0,299.3,408.9,16.7,182.5
11.2,281.6,371.3,14.6,184.7
11.2,307.2,401.5,16.6,193.7
11.2,327.4,418.3,17.7,197.7
12.7,329.8,414.9,17.7,201.4
12.8,333.3,420.2,17.7,202.7
12.8,320.9,413.6,17.6,202.3
8.8,320.3,409.0,17.3,239.9
9.1,323.3,415.4,17.5,242.1
8.9,322.5,415.3,17.4,243.4
9.0,324.8,414.9,17.7,238.3
9.5,329.5,410.9,17.5,244.0
9.4,327.3,412.5,17.5,234.2
9.5,315.6,401.3,17.3,233.9
10.7,373.2,497.2,18.4,223.1
10.7,379.4,504.1,18.5,230.6
10.7,373.5,501.8,18.5,239.3
10.7,376.2,496.2,18.3,242.0
10.7,374.2,492.4,18.1,241.7
10.7,370.7,491.6,18.2,227.1
11.2,364.2,479.3,17.9,205.0
12.7,318.9,422.9,18.6,240.7
11.0,324.5,437.2,18.9,242.6
10.4,320.9,436.9,18.9,239.0
13.5,317.8,428.4,19.0,231.5
13.4,313.9,427.0,17.6,243.4
